user_id,signup_date,signup_month,source,plan,ab_variant,activated,first_applied,retained_7d,retained_30d,sessions_per_week,applies_per_session,ai_applies_pct,msg_open_rate,followup_click_rate
U00001,2024-11-23,2024-11,Organic Search,Pro,A - Control (Old Onboarding),1,1,0,0,1,4.6,0.91,0.44,0.14
U00002,2024-10-06,2024-10,Organic Search,Free,A - Control (Old Onboarding),1,1,1,0,2,3.9,0.61,0.2,0.28
U00003,2024-11-28,2024-11,Referral,Free,A - Control (Old Onboarding),1,0,0,0,1,1.1,0.58,0.38,0.14
U00004,2024-03-22,2024-03,Referral,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00005,2024-06-21,2024-06,Organic Search,Free,A - Control (Old Onboarding),1,1,1,0,2,1.3,0.85,0.62,0.26
U00006,2024-03-04,2024-03,Twitter/X,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00007,2024-11-12,2024-11,Product Hunt,Free,A - Control (Old Onboarding),1,1,0,0,2,3.2,0.51,0.37,0.15
U00008,2024-02-10,2024-02,Product Hunt,Pro,A - Control (Old Onboarding),1,1,1,0,2,1.0,1.0,0.32,0.15
U00009,2024-12-09,2024-12,Organic Search,Team,B - Variant (AI Job Match),1,1,1,1,4,4.2,1.0,0.08,0.24
U00010,2024-07-13,2024-07,Organic Search,Team,B - Variant (AI Job Match),1,1,0,0,2,1.8,0.79,0.41,0.17
U00011,2024-01-29,2024-01,Organic Search,Free,A - Control (Old Onboarding),1,1,0,0,2,2.9,0.84,0.27,0.16
U00012,2024-06-10,2024-06,Organic Search,Free,B - Variant (AI Job Match),1,1,1,0,1,1.0,0.76,0.3,0.16
U00013,2024-10-02,2024-10,Organic Search,Free,B - Variant (AI Job Match),1,1,0,0,4,1.8,0.49,0.34,0.18
U00014,2024-09-17,2024-09,LinkedIn Ad,Pro,B - Variant (AI Job Match),1,1,0,0,1,4.6,0.88,0.42,0.1
U00015,2024-11-01,2024-11,Organic Search,Free,B - Variant (AI Job Match),1,0,0,0,2,4.9,0.98,0.24,0.14
U00016,2024-01-06,2024-01,Referral,Free,B - Variant (AI Job Match),1,1,1,1,3,3.3,0.68,0.42,0.09
U00017,2024-03-21,2024-03,LinkedIn Ad,Team,B - Variant (AI Job Match),1,1,1,0,4,5.8,0.78,0.4,0.27
U00018,2024-11-16,2024-11,Organic Search,Free,B - Variant (AI Job Match),1,1,0,0,2,2.7,0.6,0.42,0.26
U00019,2024-09-28,2024-09,Twitter/X,Free,A - Control (Old Onboarding),1,1,0,0,2,1.2,0.63,0.43,0.16
U00020,2024-06-06,2024-06,Organic Search,Free,B - Variant (AI Job Match),1,1,0,0,1,4.3,0.6,0.44,0.18
U00021,2024-09-29,2024-09,Referral,Free,A - Control (Old Onboarding),1,1,0,0,4,2.3,0.82,0.36,0.09
U00022,2024-08-04,2024-08,Twitter/X,Team,B - Variant (AI Job Match),1,1,1,0,5,5.5,1.0,0.2,0.11
U00023,2024-07-10,2024-07,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,0,0,5,7.4,0.63,0.32,0.15
U00024,2024-04-27,2024-04,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,1,0,1,2.3,0.66,0.45,0.18
U00025,2024-09-20,2024-09,Organic Search,Free,A - Control (Old Onboarding),1,0,0,0,1,3.6,0.73,0.27,0.33
U00026,2024-10-19,2024-10,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,0,0,1,1.8,0.71,0.39,0.24
U00027,2024-06-30,2024-06,LinkedIn Ad,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00028,2024-11-26,2024-11,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00029,2024-05-07,2024-05,Organic Search,Free,A - Control (Old Onboarding),1,1,0,0,1,3.3,0.97,0.44,0.07
U00030,2024-02-08,2024-02,LinkedIn Ad,Pro,B - Variant (AI Job Match),1,0,0,0,1,3.4,0.85,0.53,0.18
U00031,2024-01-08,2024-01,Twitter/X,Team,B - Variant (AI Job Match),1,1,1,0,2,2.6,1.0,0.2,0.26
U00032,2024-01-31,2024-01,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00033,2024-08-20,2024-08,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00034,2024-12-04,2024-12,Referral,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00035,2024-10-23,2024-10,Referral,Free,A - Control (Old Onboarding),1,1,0,0,2,2.3,0.65,0.55,0.23
U00036,2024-09-28,2024-09,Organic Search,Team,A - Control (Old Onboarding),1,1,0,0,1,2.2,0.9,0.43,0.15
U00037,2024-04-30,2024-04,LinkedIn Ad,Team,B - Variant (AI Job Match),1,1,1,0,4,5.1,0.95,0.34,0.19
